pickup_date,total_revenue
2025-12-31,275.59999999999997
2026-01-01,2588518.35
2026-01-02,2010155.2
2026-01-03,2211792.73
2026-01-04,2004032.68
2026-01-05,2003578.47
2026-01-06,2091035.58
2026-01-07,2161960.85
2026-01-08,2327579.86
2026-01-09,2359403.48
2026-01-10,2796283.12
2026-01-11,2292066.34
2026-01-12,2181375.67
2026-01-13,2370781.14
2026-01-14,2485593.18
2026-01-15,2682264.18
2026-01-16,2567484.7
2026-01-17,2389750.81
2026-01-18,2293282.17
2026-01-19,1999053.89
2026-01-20,2537832.68
2026-01-21,2466557.66
2026-01-22,2602618.02
2026-01-23,2666526.34
2026-01-24,2700970.53
2026-01-25,979224.39
2026-01-26,1384451.47
2026-01-27,2957026.76
2026-01-28,3082820.79
2026-01-29,3354164.66
2026-01-30,3349955.83
2026-01-31,2984363.5
2026-02-01,15.6
