pickup_date,total_revenue
2025-12-31,275.59999999999997
2026-01-01,2588518.34999983
2026-01-02,2010155.1999998032
2026-01-03,2211792.7299996777
2026-01-04,2004032.680000018
2026-01-05,2003578.4700000002
2026-01-06,2091035.5800000106
2026-01-07,2161960.8500000103
2026-01-08,2327579.8599999966
2026-01-09,2359403.480000104
2026-01-10,2796283.120000031
2026-01-11,2292066.339999878
2026-01-12,2181375.670000016
2026-01-13,2370781.1399999987
2026-01-14,2485593.1799999885
2026-01-15,2682264.1799997957
2026-01-16,2567484.6999996877
2026-01-17,2389750.80999982
2026-01-18,2293282.169999881
2026-01-19,1999053.8900000015
2026-01-20,2537832.6800000337
2026-01-21,2466557.659999934
2026-01-22,2602618.019999522
2026-01-23,2666526.339999274
2026-01-24,2700970.529998977
2026-01-25,979224.3899999796
2026-01-26,1384451.4700000011
2026-01-27,2957026.7599996566
2026-01-28,3082820.7899998347
2026-01-29,3354164.6599997766
2026-01-30,3349955.8299996536
2026-01-31,2984363.4999995045
2026-02-01,15.6
